alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.60,93,0,0,,,,0
lower26,literal,512,16,10000,0.60,94,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,94,0,0,,,,0
lower26,literal,512,16,10000,0.60,95,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,95,0,0,,,,0
lower26,literal,512,16,10000,0.60,96,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,96,0,0,,,,0
lower26,literal,512,16,10000,0.60,97,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,97,0,0,,,,0
lower26,literal,512,16,10000,0.60,98,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,98,0,0,,,,0
lower26,literal,512,16,10000,0.60,99,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,99,0,0,,,,0
lower26,literal,512,16,10000,0.60,100,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,100,0,0,,,,0
lower26,literal,512,16,10000,0.70,1,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,1,0,0,,,,0
lower26,literal,512,16,10000,0.70,2,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,2,0,0,,,,0
lower26,literal,512,16,10000,0.70,3,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,3,0,0,,,,0
lower26,literal,512,16,10000,0.70,4,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,4,0,0,,,,0
lower26,literal,512,16,10000,0.70,5,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,5,0,0,,,,0
lower26,literal,512,16,10000,0.70,6,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,6,0,0,,,,0
lower26,literal,512,16,10000,0.70,7,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,7,0,0,,,,0
lower26,literal,512,16,10000,0.70,8,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,8,0,0,,,,0
lower26,literal,512,16,10000,0.70,9,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,9,0,0,,,,0
lower26,literal,512,16,10000,0.70,10,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,10,0,0,,,,0
lower26,literal,512,16,10000,0.70,11,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,11,0,0,,,,0
lower26,literal,512,16,10000,0.70,12,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,12,0,0,,,,0
lower26,literal,512,16,10000,0.70,13,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,13,0,0,,,,0
lower26,literal,512,16,10000,0.70,14,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,14,0,0,,,,0
lower26,literal,512,16,10000,0.70,15,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,15,0,0,,,,0
lower26,literal,512,16,10000,0.70,16,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,16,0,0,,,,0
lower26,literal,512,16,10000,0.70,17,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,17,0,0,,,,0
lower26,literal,512,16,10000,0.70,18,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,18,0,0,,,,0
lower26,literal,512,16,10000,0.70,19,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,19,0,0,,,,0
lower26,literal,512,16,10000,0.70,20,1,1,1356,12,11,0
lower26,literal,512,16,10000,0.70,20,0,0,,,,0
lower26,literal,512,16,10000,0.70,21,1,1,1356,12,11,0
