nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.022894,0.023721,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.022878,0.023698,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.022867,0.023685,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.022892,0.023711,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.022960,0.023779,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.022557,0.023388,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,0.022541,0.023368,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,0.022523,0.023356,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,0.022619,0.023454,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,0.022611,0.023443,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.049618,0.051498,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.049721,0.051596,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.049755,0.051644,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.049778,0.051678,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.049826,0.051709,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.049355,0.051238,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,0.049462,0.051327,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,0.049465,0.051340,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,0.049580,0.051447,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,0.049394,0.051283,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.473552,0.481303,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.473116,0.480684,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.472985,0.480554,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.472955,0.480504,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.472911,0.480453,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.467765,0.475468,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,0.467654,0.475354,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,0.467900,0.475767,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,0.467655,0.475365,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,0.467639,0.475305,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,3.172615,3.202264,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,3.172303,3.201949,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,3.172706,3.201977,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,3.172851,3.202440,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,3.172607,3.202072,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,3.157002,3.186923,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,3.157352,3.187214,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,3.157031,3.186871,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,3.157069,3.186869,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,3.157231,3.186722,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,23.668816,23.785452,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,23.668754,23.784983,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,23.668621,23.784913,,,0,0
